serid,Linda,Jennifer,Karen,Kimberly,Emily,Stephanie,Mark,Jacob,Kevin,Kyle,Adam,Bruce,Professor,ChildcareWorker,Police,Lawyer,SocialWorker,Electrician,Cosmetologist,Bartender,Gender,Age,Race,Education,ppincimp,ppmarit,pphhhead,pphhsize,ppt18ov,ppt1317,ppt612,ppt25,ppt01,pptsu,pptsu21,pptsu22,pptsu23,pptsu24,pptsu25,pptsu26,ppwork,pprent,pphouse,ppnet,ppreg4,age,wmid1,wgt,ppp20063,ppp20068,ppp20197,ppp20198,ppp20200,ppp20217
217004176,,,0,,,,,,,,,,,,,,1,,,,Female,25-29 years    (27.0),"White, Non-Hispanic",HS grad,112.5,Never married,Someone else's name only,One,One,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,No,MidWest,27,0.685670018,0.68567,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217002836,2,6,1,1,1,2,2,2,1,0,1,1,25,2,2,2,1,0,1,1,Female,40-44 years    (42.0),"White, Non-Hispanic",Master's degree,112.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),Four,Two,None,Two,None,None,Two,Yes,No,Yes,No,Yes,Yes,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,NorthEast,44,0.577440023,0.57744,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217010031,3,2,1,1,0,1,2,3,0,0,0,0,0,1,2,20,0,1,10,2,Female,65-69 years    (67.0),"White, Non-Hispanic",HS grad,11.25,Divorced,Your name only/Your name with someone else's name (jointly owned or rented),One,One,None,None,None,None,,No,No,No,No,No,No,Not working - retired,Rented for cash,A building with 2 or more apartments,Yes,MidWest,67,1.15715003,1.15715,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217014439,3,1,3,1,0,1,5,0,4,0,2,2,1,1,0,1,0,0,3,1,Male,45-49 years    (47.0),"White, Non-Hispanic",HS grad,17.5,Living with partner,Your name only/Your name with someone else's name (jointly owned or rented),Two,Two,None,None,None,None,,No,No,No,No,No,No,Working - self-employed,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,South,46,1.26789999,1.2679,Gay,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217003552,3,2,0,2,1,0,1,0,1,1,0,1,0,0,0,2,0,0,0,0,Male,65-69 years    (67.0),"White, Non-Hispanic",Master's degree,"$175,000 or more  (175)",Married,Your name only/Your name with someone else's name (jointly owned or rented),Two,Two,None,None,None,None,,No,No,No,No,No,No,Not working - retired,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,West,69,0.656979978,0.65698,Heterosexual or straight,"I was on active duty in the past, but not now",Yes,Born a U.S. citizen,Not asked, 
217007488,,,,,,,,,,,,,,,,,,,,,Female,45-49 years    (47.0),"White, Non-Hispanic",HS grad,67.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),Three,Three,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,West,48,0.686500013,0.6865,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217001901,,1,,,,,,,1,,1,,,,,,,,,,Female,22.5,"White, Non-Hispanic","Some college, no degree",11.25,Never married,Someone else's name only,Four,Three,One,None,None,None,One,Yes,Yes,No,No,Yes,No,Not working - looking for work,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,NorthEast,23,1.094779968,1.09478,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217004793,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,Male,50-54 years    (52.0),"White, Non-Hispanic",Master's degree,"$75,000 to $84,999  (80)",Married,Your name only/Your name with someone else's name (jointly owned or rented),Four,Two,One,One,None,None,Two,Yes,Yes,Yes,No,Yes,Yes,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,South,52,0.836149991,0.83615,Heterosexual or straight,I have never served in the military,No,Not asked,Not asked, 
217007365,1,1,0,0,0,0,1,0,1,0,2,2,1,0,0,2,0,0,0,0,Male,70-74 years    (72.0),"White, Non-Hispanic",Professional or Doctorate degree,112.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),Two,Two,None,None,None,None,,No,No,No,No,No,No,Not working - retired,Owned or being bought by you or someone in your household,A one-family house detached from any other house,No,NorthEast,71,0.774590015,0.77459,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217014555,,,,,,,,1,,,1,,,,,,,1,,,Male,30-34 years    (32.0),"White, Non-Hispanic",Bachelor's degree,"$75,000 to $84,999  (80)",Married,Your name only/Your name with someone else's name (jointly owned or rented),One,One,None,None,None,None,,No,No,No,No,No,No,Not working - other,Owned or being bought by you or someone in your household,A one-family house detached from any other house,No,South,34,0.68186003,0.68186,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217020921,,,,,,,,,,,,,,,,,,,,,Male,18-20 years    (19.0),"White, Non-Hispanic",Less than HS graduate,92.5,Never married,Someone else's name only,Three,Three,None,None,None,None,,No,No,No,No,No,No,Not working - looking for work,Rented for cash,A building with 2 or more apartments,Yes,West,19,0.926599979,0.9266,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217000909,1,,,,,,,,,,,,,,,1,,,,,Female,35-39 years    (37.0),Hispanic,Master's degree,67.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),Four,Two,None,Two,None,None,Two,Yes,No,Yes,No,Yes,Yes,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,No,South,37,1.110110044,1.11011,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217007301,,,,,,,,,,,,,,,,,,,,,Female,70-74 years    (72.0),"White, Non-Hispanic",HS grad,137.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),Two,Two,None,None,None,None,,No,No,No,No,No,No,Not working - retired,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,South,71,0.987089992,0.98709,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217036631,2,6,1,1,2,4,5,1,1,0,2,0,3,3,0,1,0,0,1,0,Female,40-44 years    (42.0),"White, Non-Hispanic",Bachelor's degree,"$50,000 to $59,999  (55)",Married,Your name only/Your name with someone else's name (jointly owned or rented),Three,Two,None,None,One,None,One,Yes,No,No,Yes,No,Yes,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,NorthEast,42,0.590250015,0.59025,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217003183,1,1,2,0,1,1,4,0,1,1,1,0,2,3,1,3,0,0,1,2,Female,40-44 years    (42.0),"White, Non-Hispanic",Professional or Doctorate degree,"$175,000 or more  (175)",Married,Your name only/Your name with someone else's name (jointly owned or rented),Four,Two,None,Two,None,None,Two,Yes,No,Yes,No,Yes,Yes,Working - self-employed,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,MidWest,42,0.527199984,0.5272,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217027362,2,3,1,2,1,1,2,2,1,3,0,1,0,0,0,0,0,0,0,1,Female,50-54 years    (52.0),Hispanic,HS grad,37.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),Three,Three,None,None,None,None,,No,No,No,No,No,No,Not working - disabled,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,West,51,1.677780032,1.67778,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217015252,1,1,,,,1,,,1,,,,1,,,1,,1,1,,Male,65-69 years    (67.0),"White, Non-Hispanic",Master's degree,"$175,000 or more  (175)",Married,Your name only/Your name with someone else's name (jointly owned or rented),Two,Two,None,None,None,None,,No,No,No,No,No,No,Not working - retired,Occupied without payment of cash rent,A one-family house detached from any other house,No,MidWest,65,0.707189977,0.70719,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217035157,5,4,4,1,6,3,4,0,1,1,2,2,2,6,1,2,2,4,5,3,Female,65-69 years    (67.0),"White, Non-Hispanic","Some college, no degree",17.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),Three,Three,None,None,None,None,,No,No,No,No,No,No,Working - self-employed,Rented for cash,A one-family house detached from any other house,Yes,West,66,1.294109941,1.29411,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217003288,1,0,1,1,1,2,1,0,1,0,1,1,1,0,0,1,0,0,0,0,Male,50-54 years    (52.0),"White, Non-Hispanic",Master's degree,92.5,Never married,Your name only/Your name with someone else's name (jointly owned or rented),One,One,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Rented for cash,A building with 2 or more apartments,Yes,West,52,0.721780002,0.72178,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217017341,1,2,1,0,0,1,1,1,1,0,1,3,1,1,1,1,0,1,0,0,Male,30-34 years    (32.0),"White, Non-Hispanic",Master's degree,112.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),Three,Three,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,NorthEast,32,0.639289975,0.63929,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217028185,9,1,2,2,0,1,3,0,0,0,1,1,0,0,0,0,4,0,1,1,Female,70-74 years    (72.0),"2+ Races, Non-Hispanic",HS grad,92.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),Two,Two,None,None,None,None,,No,No,No,No,No,No,Not working - retired,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,South,72,0.490209997,0.49021,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217019911,2,,1,,,,2,,,1,,,,,1,,,,,,Female,75 and over    (77.0),"White, Non-Hispanic",HS grad,92.5,Divorced,Someone else's name only,One,One,None,None,None,None,,No,No,No,No,No,No,Not working - retired,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,MidWest,81,0.880320013,0.88032,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217030318,2,1,2,2,1,1,3,1,5,1,0,1,0,1,4,2,1,0,1,1,Male,45-49 years    (47.0),"White, Non-Hispanic",Bachelor's degree,67.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),Five,Three,One,One,None,None,Two,Yes,Yes,Yes,No,Yes,Yes,Working - self-employed,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,MidWest,46,0.762250006,0.76225,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217011850,2,1,2,1,1,4,2,0,2,1,1,1,1,2,16,1,0,6,4,4,Male,65-69 years    (67.0),"White, Non-Hispanic",Professional or Doctorate degree,112.5,Widowed,Your name only/Your name with someone else's name (jointly owned or rented),Two,Two,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house attached to one or more houses,Yes,West,66,0.656979978,0.65698,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217037219,1,,,,,,,,1,1,,,,,,,,,1,,Male,55-59 years    (57.0),"White, Non-Hispanic",Bachelor's degree,"$40,000 to $49,999  (45)",Never married,Your name only/Your name with someone else's name (jointly owned or rented),Two,Two,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,MidWest,59,0.813579977,0.81358,Heterosexual or straight,"I have trained for the Reserves or National Guard, but have never been activated",Yes,Born a U.S. citizen,Not asked, 
217033820,1,3,2,1,4,2,2,1,0,1,1,0,1,0,0,2,1,0,0,0,Male,35-39 years    (37.0),"White, Non-Hispanic",Bachelor's degree,162.5,Divorced,Your name only/Your name with someone else's name (jointly owned or rented),Two,Two,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Rented for cash,A building with 2 or more apartments,Yes,NorthEast,37,0.639289975,0.63929,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217036272,0,2,1,1,1,1,0,0,1,1,0,0,1,1,3,6,0,0,0,0,Male,22.5,"White, Non-Hispanic","Some college, no degree",92.5,Never married,Your name only/Your name with someone else's name (jointly owned or rented),Two,Two,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,MidWest,24,0.966329992,0.96633,Heterosexual or straight,I am now on active duty,Yes,Born a U.S. citizen,Not asked, 
217028945,5,2,3,2,1,1,1,0,2,1,1,1,2,2,2,2,2,1,3,4,Female,65-69 years    (67.0),"White, Non-Hispanic","Some college, no degree",37.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),Two,Two,None,None,None,None,,No,No,No,No,No,No,Not working - other,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,NorthEast,65,1.215510011,1.21551,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217036979,,1,1,1,,,,1,,,,,,,,,,,,,Female,40-44 years    (42.0),"White, Non-Hispanic","Some college, no degree",27.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),Four,Three,None,One,None,None,One,Yes,No,Yes,No,Yes,Yes,Not working - other,Rented for cash,A building with 2 or more apartments,Yes,MidWest,41,0.995580018,0.99558,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217013727,2,5,2,0,1,0,2,1,1,0,0,0,4,10,0,2,0,0,1,0,Female,70-74 years    (72.0),"Other, Non-Hispanic",Master's degree,137.5,Never married,Your name only/Your name with someone else's name (jointly owned or rented),One,One,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Owned or being bought by you or someone in your household,A building with 2 or more apartments,Yes,West,70,1.40952003,1.40952,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217008390,3,2,3,1,1,1,2,2,1,2,0,2,1,1,0,2,0,2,2,0,Female,65-69 years    (67.0),"White, Non-Hispanic",HS grad,32.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),Two,Two,None,None,None,None,,No,No,No,No,No,No,Not working - retired,Owned or being bought by you or someone in your household,A one-family house detached from any other house,No,South,68,1.457059979,1.45706,Refused,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217006988,2,1,1,0,1,1,2,1,1,1,1,1,0,2,0,2,1,3,0,1,Female,70-74 years    (72.0),"White, Non-Hispanic",Associate degree,"$75,000 to $84,999  (80)",Married,Your name only/Your name with someone else's name (jointly owned or rented),Two,Two,None,None,None,None,,No,No,No,No,No,No,Not working - retired,Owned or being bought by you or someone in your household,A one-family house detached from any other house,No,MidWest,70,1.059769988,1.05977,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217016121,1,4,,,1,,,5,1,1,,,3,,,1,,,,1,Male,22.5,"2+ Races, Non-Hispanic","Some college, no degree",67.5,Never married,Your name only/Your name with someone else's name (jointly owned or rented),Four,Three,One,None,None,None,One,Yes,Yes,No,No,Yes,No,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,MidWest,22,0.490539998,0.49054,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217003642,1,2,1,1,0,1,1,0,1,1,0,2,2,0,0,0,0,1,1,0,Female,55-59 years    (57.0),"White, Non-Hispanic",Master's degree,112.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),Two,Two,None,None,None,None,,No,No,No,No,No,No,Not working - retired,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,South,58,0.875800014,0.8758,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217028455,1,1,1,1,0,3,1,3,1,0,1,1,1,20,1,0,2,1,1,1,Female,45-49 years    (47.0),"White, Non-Hispanic",HS grad,"$40,000 to $49,999  (45)",Separated,Your name only/Your name with someone else's name (jointly owned or rented),Eight or more,Four,One,Two,One,None,Four,Yes,Yes,Yes,Yes,Yes,Yes,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,South,47,0.848829985,0.84883,,,,,, 
217013283,1,,,,1,1,1,2,5,4,,,0,0,0,0,0,0,1,0,Male,18-20 years    (19.0),"White, Non-Hispanic","Some college, no degree",67.5,Never married,Someone else's name only,Two,Two,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,West,20,1.241529942,1.24153,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217031991,0,1,0,2,6,1,1,2,2,0,1,1,4,2,1,2,1,0,0,1,Female,25-29 years    (27.0),"White, Non-Hispanic",Master's degree,"$50,000 to $59,999  (55)",Never married,Someone else's name only,Two,Two,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,South,25,0.653869987,0.65387,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217023825,0,1,1,1,1,1,1,0,1,0,0,1,1,,,,,,,,Female,30-34 years    (32.0),"Black, Non-Hispanic",Associate degree,92.5,Never married,Someone else's name only,Two,Two,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Rented for cash,A one-family house attached to one or more houses,Yes,South,31,1.279700041,1.2797,Heterosexual or straight,I have never served in the military,No,Not asked,Not asked, 
217034677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,65-69 years    (67.0),"White, Non-Hispanic",HS grad,67.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),Seven,Five,One,One,None,None,Two,Yes,Yes,Yes,No,Yes,Yes,Not working - disabled,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,NorthEast,65,0.876659989,0.87666,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217002588,0,5,1,1,1,0,0,0,1,1,2,2,1,0,0,3,0,0,1,0,Male,30-34 years    (32.0),"White, Non-Hispanic",Professional or Doctorate degree,67.5,Never married,Your name only/Your name with someone else's name (jointly owned or rented),One,One,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Rented for cash,A building with 2 or more apartments,Yes,South,31,0.668969989,0.66897,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217030445,,1,,,,,2,,1,1,,,1,,,,,,,,Male,75 and over    (77.0),"White, Non-Hispanic",HS grad,27.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),One,One,None,None,None,None,,No,No,No,No,No,No,Not working - retired,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,West,78,0.826860011,0.82686,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217036353,2,2,0,0,0,2,4,1,1,0,1,0,0,2,3,0,0,2,2,0,Male,40-44 years    (42.0),Hispanic,HS grad,92.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),Four,Four,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,West,42,1.149150014,1.14915,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217021541,2,2,3,2,1,2,2,1,1,0,3,1,0,1,2,0,6,0,0,0,Male,40-44 years    (42.0),"White, Non-Hispanic",Bachelor's degree,92.5,Never married,Your name only/Your name with someone else's name (jointly owned or rented),Five,Four,None,None,One,None,One,Yes,No,No,Yes,No,Yes,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house attached to one or more houses,Yes,West,44,0.564930022,0.56493,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217002485,2,1,1,2,1,0,2,1,1,0,1,0,2,1,0,0,0,0,0,0,Female,55-59 years    (57.0),"White, Non-Hispanic",HS grad,"$40,000 to $49,999  (45)",Married,Your name only/Your name with someone else's name (jointly owned or rented),Two,Two,None,None,None,None,,No,No,No,No,No,No,Not working - retired,Owned or being bought by you or someone in your household,A one-family house detached from any other house,No,South,57,0.884389997,0.88439,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217006106,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,Male,55-59 years    (57.0),"White, Non-Hispanic","Some college, no degree",11.25,Married,Your name only/Your name with someone else's name (jointly owned or rented),Two,Two,None,None,None,None,,No,No,No,No,No,No,Working - self-employed,Owned or being bought by you or someone in your household,A mobile home,No,South,59,1.526350021,1.52635,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217031091,7,3,6,4,3,4,5,2,3,1,2,1,4,6,2,7,4,3,2,1,Male,55-59 years    (57.0),"White, Non-Hispanic",Bachelor's degree,17.5,Divorced,Your name only/Your name with someone else's name (jointly owned or rented),One,One,None,None,None,None,,No,No,No,No,No,No,Not working - disabled,Owned or being bought by you or someone in your household,A one-family house detached from any other house,No,South,59,1.487030029,1.48703,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217015232,5,5,4,3,1,1,2,3,4,2,3,2,5,5,4,4,2,2,3,1,Female,60-64 years    (62.0),"White, Non-Hispanic",HS grad,"$50,000 to $59,999  (55)",Widowed,Your name only/Your name with someone else's name (jointly owned or rented),One,One,None,None,None,None,,No,No,No,No,No,No,Not working - retired,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,NorthEast,61,1.279899955,1.2799,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217010713,2,0,1,0,1,2,1,0,2,0,1,1,2,0,0,2,2,2,3,0,Female,50-54 years    (52.0),"White, Non-Hispanic",Master's degree,137.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),Two,Two,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,NorthEast,51,0.658810019,0.65881,Lesbian,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217035195,1,2,1,2,6,2,3,2,2,3,2,0,5,0,0,1,1,0,0,0,Male,22.5,"White, Non-Hispanic","Some college, no degree",137.5,Never married,Someone else's name only,Two,Two,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,MidWest,22,0.966329992,0.96633,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217010136,,,,1,1,,,,,,,,,,,,,,,,Female,75 and over    (77.0),"White, Non-Hispanic",HS grad,27.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),Two,Two,None,None,None,None,,No,No,No,No,No,No,Not working - retired,Owned or being bought by you or someone in your household,A building with 2 or more apartments,No,NorthEast,78,1.09604001,1.09604,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217037757,0,2,1,1,1,1,1,0,1,1,1,1,2,5,2,5,1,0,1,1,Male,35-39 years    (37.0),"White, Non-Hispanic",Professional or Doctorate degree,162.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),Four,Two,None,One,One,None,Two,Yes,No,Yes,Yes,Yes,Yes,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house attached to one or more houses,Yes,NorthEast,36,0.639289975,0.63929,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217009923,2,2,2,0,1,1,1,1,0,0,1,1,2,1,2,2,1,0,1,1,Female,60-64 years    (62.0),"White, Non-Hispanic",HS grad,"$75,000 to $84,999  (80)",Married,Your name only/Your name with someone else's name (jointly owned or rented),Three,Three,None,None,None,None,,No,No,No,No,No,No,Not working - other,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,South,64,0.987089992,0.98709,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217024813,4,3,4,1,1,1,2,2,1,0,1,0,4,1,0,1,2,0,2,0,Female,65-69 years    (67.0),"White, Non-Hispanic",Master's degree,67.5,Never married,Your name only/Your name with someone else's name (jointly owned or rented),One,One,None,None,None,None,,No,No,No,No,No,No,Not working - retired,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,NorthEast,69,0.854380012,0.85438,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217027585,,3,1,,1,,,1,,1,,1,,,,,,1,1,,Male,35-39 years    (37.0),"White, Non-Hispanic",HS grad,112.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),Four,Two,Two,None,None,None,Two,Yes,Yes,No,No,Yes,No,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,West,39,0.651709974,0.65171,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217012498,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,Male,45-49 years    (47.0),"White, Non-Hispanic",HS grad,67.5,Never married,Someone else's name only,Four,Four,None,None,None,None,,No,No,No,No,No,No,Not working - other,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,NorthEast,49,0.963140011,0.96314,Gay,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217020828,1,1,,,,1,1,,1,,,,0,0,0,1,0,1,0,2,Male,30-34 years    (32.0),"White, Non-Hispanic",Less than HS graduate,27.5,Living with partner,Your name only/Your name with someone else's name (jointly owned or rented),One,One,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Rented for cash,A building with 2 or more apartments,Yes,MidWest,30,0.840879977,0.84088,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217026276,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Female,65-69 years    (67.0),"White, Non-Hispanic",Bachelor's degree,32.5,Never married,Your name only/Your name with someone else's name (jointly owned or rented),One,One,None,None,None,None,,No,No,No,No,No,No,Not working - retired,Owned or being bought by you or someone in your household,A one-family house detached from any other house,No,MidWest,68,0.867439985,0.86744,Refused,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
217014859,,,,,,,,,,,,,,,1,,,1,1,,Male,65-69 years    (67.0),"White, Non-Hispanic",HS grad,"$40,000 to $49,999  (45)",Married,Your name only/Your name with someone else's name (jointly owned or rented),Two,Two,None,None,None,None,,No,No,No,No,No,No,Not working - retired,Owned or being bought by you or someone in your household,A one-family house attached to one or more houses,Yes,MidWest,68,0.854279995,0.85428,Heterosexual or straight,"I was on active duty in the past, but not now",Yes,Born a U.S. citizen,Not asked, 
217029408,2,0,1,0,0,3,3,2,1,0,0,3,0,0,1,2,0,0,1,0,Male,75 and over    (77.0),"White, Non-Hispanic",Less than HS graduate,37.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),Two,Two,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,MidWest,77,0.977880001,0.97788,Heterosexual or straight,"I was on active duty in the past, but not now",Yes,Born a U.S. citizen,Not asked, 
217033662,1,1,3,1,3,1,,3,4,,5,1,2,2,3,2,1,2,3,2,Male,25-29 years    (27.0),"White, Non-Hispanic","Some college, no degree",67.5,Never married,Someone else's name only,Five,Five,None,None,None,None,,No,No,No,No,No,No,Working - self-employed,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,MidWest,28,0.987770021,0.98777,Heterosexual or straight,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
