case_id,Linda,Jennifer,Karen,Kimberly,Emily,Stephanie,Mark,Jacob,Kevin,Kyle,Adam,Bruce,Professor,ChildcareWorker,Police,Lawyer,SocialWorker,Electrician,Cosmetologist,Bartender,Unemployed,Food_Stamps,Multiple_Job,Load_Debt,No_Health_Insurance,Active_Military,Veteran,Immigrant,Gay,Single_Parent,Black,Non_Religious,Evangelical,Muslims,Incarcerated,Abortion,Injured_Military,Miscarriage,Partner_Abuse,Sexual_Assault,Mental_Health,Heart_Disease,Diabetes,Allergy_Peanut,Allergy_Tree_Nu,Allergy_Lettuce,Allergy_Gluten,Allergy_Water,Cancer_Breast,Cancer_Prostate,Leukemia,Cancer_Lung,Cancer_Colon,Gender,Age,Race,Education,ppincimp,ppmarit,pphhhead,pphhsize,ppt18ov,ppt1317,ppt612,ppt25,ppt01,pptsu,pptsu21,pptsu22,pptsu23,pptsu24,pptsu25,pptsu26,ppwork,pprent,pphouse,ppnet,ppreg4,age,wmid1,wgt,ppp20063,ppp20064,ppp20068,ppp20197,ppp20198,ppp20200,ppp20217
235,0,0,1,1,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,20,2,0,1,0,3,0,1,1,2,1,0,3,1,1,0,0,0,0,0,1,0,0,Female,50-54 years    (52.0),"White, Non-Hispanic",Bachelor's degree,"$40,000 to $49,999  (45)",Married,Your name only/Your name with someone else's name (jointly owned or rented),Three,Two,One,None,None,None,One,Yes,Yes,No,No,Yes,No,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,MidWest,50,0.656229973,0.65623,Heterosexual or straight,Yes,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
236,6,5,3,3,3,4,0,1,0,1,1,1,5,4,1,7,3,3,0,0,2,0,7,0,1,1,2,25,2,3,3,40,0,4,0,1,0,15,0,0,2,1,1,5,4,0,5,0,3,0,1,0,0,Female,40-44 years    (42.0),"White, Non-Hispanic",Bachelor's degree,137.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),Four,Two,None,Two,None,None,Two,Yes,No,Yes,No,Yes,Yes,Not working - other,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,MidWest,42,0.527199984,0.5272,Heterosexual or straight,No,I have never served in the military,Yes,Naturalized U.S. citizen,Great Britain, 
237,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,10,4,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Male,50-54 years    (52.0),"White, Non-Hispanic",Bachelor's degree,137.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),Three,Three,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,NorthEast,53,0.816779971,0.81678,Heterosexual or straight,No,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
238,2,0,1,2,0,0,2,1,2,0,0,0,0,0,0,1,1,1,3,1,6,3,0,2,10,0,4,0,5,,7,10,0,0,1,1,2,2,2,3,4,7,4,1,0,0,2,0,3,1,1,1,2,Female,50-54 years    (52.0),"White, Non-Hispanic",Less than HS graduate,37.5,Never married,Someone else's name only,Three,Three,None,None,None,None,,No,No,No,No,No,No,Not working - disabled,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,South,53,1.261749983,1.26175,Heterosexual or straight,Yes,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
239,2,2,2,3,2,2,2,1,2,1,1,2,0,0,3,3,0,0,1,0,0,2,15,0,0,1,20,1,15,1,30,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,Male,50-54 years    (52.0),"White, Non-Hispanic",HS grad,22.5,Divorced,Your name only/Your name with someone else's name (jointly owned or rented),Six,Two,Four,None,None,None,Four,Yes,Yes,No,No,Yes,No,Working - as a paid employee,Rented for cash,A one-family house detached from any other house,Yes,MidWest,51,1.130759954,1.13076,Heterosexual or straight,Yes,"I was on active duty in the past, but not now",Yes,Born a U.S. citizen,Not asked, 
240,1,5,2,2,1,3,1,3,1,1,0,1,1,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,0,0,Female,25-29 years    (27.0),"White, Non-Hispanic","Some college, no degree",37.5,Never married,Someone else's name only,Four,Four,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Rented for cash,A one-family house detached from any other house,Yes,MidWest,28,0.829620004,0.82962,Heterosexual or straight,Yes,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
241,1,5,2,2,3,7,5,1,3,2,1,1,2,1,1,2,1,0,0,3,0,0,1,3,1,1,2,0,11,3,3,2,0,1,0,1,1,2,0,2,3,2,4,2,0,0,1,0,2,0,0,0,0,Male,35-39 years    (37.0),"White, Non-Hispanic",Bachelor's degree,92.5,Never married,Someone else's name only,Three,Three,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,MidWest,35,0.58367002,0.58367,Gay,Yes,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
242,3,3,2,2,7,1,4,0,1,2,1,2,2,0,1,1,0,0,2,0,0,0,4,0,0,3,4,2,6,3,5,30,0,2,0,0,0,3,1,2,1,2,2,0,0,0,1,0,2,2,0,0,0,Male,45-49 years    (47.0),"White, Non-Hispanic",Master's degree,112.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),Four,Three,One,None,None,None,One,Yes,Yes,No,No,Yes,No,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,West,45,0.721780002,0.72178,Heterosexual or straight,Yes,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
243,0,1,1,1,0,1,1,1,0,1,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,3,0,3,30,0,0,0,3,0,0,2,0,0,1,2,0,0,0,0,0,1,1,0,0,0,Female,60-64 years    (62.0),"White, Non-Hispanic","Some college, no degree",17.5,Never married,Your name only/Your name with someone else's name (jointly owned or rented),One,One,None,None,None,None,,No,No,No,No,No,No,Not working - retired,Owned or being bought by you or someone in your household,A one-family house detached from any other house,No,South,63,1.561969995,1.56197,Heterosexual or straight,Yes,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
244,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,,2,0,3,0,1,0,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,Female,65-69 years    (67.0),"White, Non-Hispanic",HS grad,"$40,000 to $49,999  (45)",Married,Your name only/Your name with someone else's name (jointly owned or rented),Two,Two,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,No,West,69,0.96855998,0.96856,Heterosexual or straight,No,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
245,3,2,1,1,2,0,5,0,2,1,0,1,0,1,1,3,3,4,5,1,1,1,2,5,1,20,40,8,0,4,10,12,50,0,0,2,0,1,0,0,1,3,2,0,0,0,0,0,1,1,0,0,0,Female,70-74 years    (72.0),"White, Non-Hispanic",HS grad,67.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),Two,Two,None,None,None,None,,No,No,No,No,No,No,Not working - retired,Owned or being bought by you or someone in your household,A one-family house detached from any other house,No,NorthEast,70,1.026890039,1.02689,Heterosexual or straight,No,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
246,0,3,0,0,1,2,1,1,0,1,0,1,1,0,1,8,2,0,1,2,3,0,2,0,5,0,1,10,3,3,6,3,0,3,0,1,0,1,0,3,2,2,1,0,,0,1,0,1,1,0,0,0,Male,45-49 years    (47.0),"Other, Non-Hispanic",Professional or Doctorate degree,112.5,Never married,Your name only/Your name with someone else's name (jointly owned or rented),One,One,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,West,48,1.377380013,1.37738,Heterosexual or straight,Yes,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
247,,,,,1,1,,1,,,,,,1,1,,1,,1,,1,,6,8,2,2,5,,3,2,,5,3,,,2,2,4,2,5,3,2,3,,,,,,2,1,1,2,1,Female,35-39 years    (37.0),"2+ Races, Non-Hispanic","Some college, no degree",32.5,Never married,Your name only/Your name with someone else's name (jointly owned or rented),Five,Two,One,Two,None,None,Three,Yes,Yes,Yes,No,Yes,Yes,Working - as a paid employee,Rented for cash,A one-family house detached from any other house,Yes,West,35,0.478560001,0.47856,Heterosexual or straight,Yes,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
248,2,2,2,1,1,1,2,0,3,2,0,2,0,0,4,4,0,2,2,2,1,0,0,0,0,0,10,2,1,0,3,6,2,2,0,0,1,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,Male,65-69 years    (67.0),"White, Non-Hispanic","Some college, no degree",92.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),Two,Two,None,None,None,None,,No,No,No,No,No,No,Not working - retired,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,NorthEast,67,0.990949988,0.99095,Heterosexual or straight,No,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
249,,,,,,,,,,1,,,10,,5,1,1,1,,,2,1,,,,,,,1,4,20,,,,,1,,3,3,1,,,3,,,,,,2,,,,,Female,35-39 years    (37.0),"White, Non-Hispanic",Master's degree,112.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),Two,Two,None,None,None,None,,No,No,No,No,No,No,Not working - other,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,South,36,0.591139972,0.59114,Heterosexual or straight,Yes,I have never served in the military,Yes,Naturalized U.S. citizen,Trinidad and Tobago, 
250,,2,,1,,,2,,,,,,,,,,,1,,,1,,1,,,,,,4,1,,1,,,,,1,,,,,,,,,,,,,,,,,Female,50-54 years    (52.0),"White, Non-Hispanic",HS grad,"$50,000 to $59,999  (55)",Never married,Your name only/Your name with someone else's name (jointly owned or rented),Three,Three,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,South,51,0.79527998,0.79528,Gay,Yes,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
251,1,,,,3,1,1,1,,,1,,4,0,3,10,0,0,0,0,0,0,0,0,0,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Male,22.5,"White, Non-Hispanic",HS grad,"$40,000 to $49,999  (45)",Never married,Someone else's name only,Seven,Five,Two,None,None,None,Two,Yes,Yes,No,No,Yes,No,Not working - looking for work,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,West,23,0.883159995,0.88316,Heterosexual or straight,Yes,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
252,1,2,2,1,0,1,2,0,2,1,1,3,6,0,10,15,0,0,0,0,1,0,2,1,0,15,6,1,3,2,3,6,0,0,0,0,3,0,1,1,1,0,4,0,0,0,0,0,2,3,0,0,1,Male,70-74 years    (72.0),"White, Non-Hispanic",Bachelor's degree,112.5,Never married,Your name only/Your name with someone else's name (jointly owned or rented),One,One,None,None,None,None,,No,No,No,No,No,No,Working - self-employed,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,South,71,0.761080027,0.76108,Heterosexual or straight,No,"I was on active duty in the past, but not now",Yes,Born a U.S. citizen,Not asked, 
253,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Male,50-54 years    (52.0),"White, Non-Hispanic",Bachelor's degree,"$175,000 or more  (175)",Living with partner,Your name only/Your name with someone else's name (jointly owned or rented),Two,Two,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,South,52,0.836149991,0.83615,Gay,Yes,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
254,0,2,0,3,5,5,1,2,2,3,0,1,3,0,3,0,0,0,2,0,1,2,5,30,0,2,3,15,2,2,4,25,0,0,0,0,0,1,0,0,0,1,4,1,0,0,0,0,0,0,0,0,1,Male,22.5,"White, Non-Hispanic","Some college, no degree",92.5,Never married,Someone else's name only,Four,Four,None,None,None,None,,No,No,No,No,No,No,Not working - other,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,South,21,1.40704,1.40704,Heterosexual or straight,No,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
255,1,2,1,1,1,1,1,1,2,2,2,1,5,3,5,5,0,2,2,1,0,1,0,4,0,3,2,4,3,0,20,40,,5,0,2,0,,0,2,0,1,1,1,0,0,0,0,2,0,1,0,1,Male,22.5,"White, Non-Hispanic",HS grad,92.5,Never married,Someone else's name only,Five,Five,None,None,None,None,,No,No,No,No,No,No,Not working - other,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,West,21,0.809490025,0.80949,Heterosexual or straight,No,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
256,0,2,1,2,3,2,0,2,1,2,1,0,1,2,1,0,1,0,1,2,1,0,6,14,0,3,2,6,3,2,4,4,15,0,0,0,0,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,Female,22.5,"White, Non-Hispanic",Associate degree,137.5,Living with partner,Someone else's name only,Two,Two,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Rented for cash,A one-family house detached from any other house,Yes,MidWest,24,0.987450004,0.98745,Heterosexual or straight,Yes,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
257,2,0,2,1,0,1,0,0,0,0,0,1,2,3,1,1,4,1,2,2,2,1,3,1,1,0,2,2,4,1,5,6,0,0,0,1,2,0,1,1,2,2,2,0,0,0,0,0,5,1,0,4,0,Female,55-59 years    (57.0),"White, Non-Hispanic",Bachelor's degree,67.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),Two,Two,None,None,None,None,,No,No,No,No,No,No,Not working - retired,Owned or being bought by you or someone in your household,A building with 2 or more apartments,Yes,West,59,0.595099986,0.5951,Heterosexual or straight,No,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,55-59 years    (57.0),"Black, Non-Hispanic",Less than HS graduate,8.75,Married,Your name only/Your name with someone else's name (jointly owned or rented),One,One,None,None,None,None,,No,No,No,No,No,No,Not working - disabled,Rented for cash,A one-family house detached from any other house,No,South,56,2.572329998,2.57233,Heterosexual or straight,Yes,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
259,6,3,3,3,1,1,4,0,4,0,2,3,0,2,8,0,0,8,0,3,2,0,4,2,0,4,12,14,2,10,28,14,0,0,0,1,1,2,1,0,0,14,3,0,0,0,0,0,12,1,1,4,0,Male,55-59 years    (57.0),"White, Non-Hispanic",Associate degree,162.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),Two,Two,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house attached to one or more houses,Yes,NorthEast,55,1.088700056,1.0887,Heterosexual or straight,No,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
260,4,2,1,0,2,1,2,0,0,0,0,2,2,3,0,4,2,3,3,0,0,1,2,3,3,2,5,0,2,3,15,15,3,0,0,3,0,2,2,2,1,5,2,2,1,0,2,0,2,1,0,0,0,Female,65-69 years    (67.0),"White, Non-Hispanic",Associate degree,32.5,Divorced,Someone else's name only,One,One,None,None,None,None,,No,No,No,No,No,No,Not working - retired,Occupied without payment of cash rent,A one-family house detached from any other house,Yes,MidWest,66,1.441089988,1.44109,Heterosexual or straight,No,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
261,6,5,4,3,2,5,2,2,1,2,3,4,4,0,3,1,1,1,3,0,2,3,2,6,6,1,6,0,3,3,12,15,5,0,2,4,2,6,5,1,6,4,4,3,1,0,1,0,3,0,0,0,0,Female,60-64 years    (62.0),"White, Non-Hispanic","Some college, no degree","$40,000 to $49,999  (45)",Divorced,Your name only/Your name with someone else's name (jointly owned or rented),One,One,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Rented for cash,A one-family house attached to one or more houses,Yes,South,62,1.244339943,1.24434,Heterosexual or straight,Yes,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
262,2,1,2,1,3,1,1,3,2,2,2,1,5,0,2,1,0,2,1,0,3,0,6,3,2,7,10,5,0,8,8,10,0,0,0,2,0,4,0,3,0,1,4,1,1,0,2,0,2,1,0,0,0,Male,22.5,"White, Non-Hispanic",HS grad,"$75,000 to $84,999  (80)",Never married,Someone else's name only,Seven,Four,Two,One,None,None,Three,Yes,Yes,Yes,No,Yes,Yes,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,West,21,0.809490025,0.80949,Heterosexual or straight,No,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
263,3,2,1,2,4,2,8,2,2,3,2,1,10,0,1,0,0,1,2,0,5,0,2,15,0,1,1,10,5,1,1,20,0,0,0,1,1,2,2,2,5,2,2,0,1,0,0,0,1,0,0,0,0,Female,18-20 years    (19.0),"White, Non-Hispanic",Less than HS graduate,67.5,Never married,Someone else's name only,Three,Three,None,None,None,None,,No,No,No,No,No,No,Not working - other,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,West,19,0.745320022,0.74532,Heterosexual or straight,Yes,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
264,4,1,4,3,2,1,5,0,2,0,0,2,50,2,3,5,2,0,2,2,23,14,25,36,8,0,5,0,10,25,55,1,15,1,2,1,0,3,2,6,1,5,34,0,0,0,1,0,8,5,1,1,1,Male,70-74 years    (72.0),"Black, Non-Hispanic",Bachelor's degree,67.5,Never married,Your name only/Your name with someone else's name (jointly owned or rented),One,One,None,None,None,None,,No,No,No,No,No,No,Not working - retired,Rented for cash,A building with 2 or more apartments,Yes,MidWest,71,1.126839995,1.12684,Gay,Yes,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
265,2,1,1,1,2,1,3,0,2,2,3,1,1,0,7,3,3,1,0,1,0,0,1,2,0,1,6,0,0,1,0,4,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Male,40-44 years    (42.0),"White, Non-Hispanic",Bachelor's degree,92.5,Divorced,Your name only/Your name with someone else's name (jointly owned or rented),One,One,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,West,42,0.564930022,0.56493,Heterosexual or straight,No,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
266,1,,1,,,1,8,2,2,1,,,4,,,1,2,,2,,,,,2,,,2,,3,,6,3,2,2,,2,1,4,2,,2,4,4,,,,,,2,3,,1,,Male,75 and over    (77.0),"White, Non-Hispanic",Bachelor's degree,17.5,Widowed,Your name only/Your name with someone else's name (jointly owned or rented),One,One,None,None,None,None,,No,No,No,No,No,No,Not working - retired,Owned or being bought by you or someone in your household,A one-family house attached to one or more houses,No,NorthEast,78,1.018159986,1.01816,Gay,Yes,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
267,1,0,1,0,2,0,2,2,0,0,3,1,3,0,1,4,1,0,1,1,1,0,2,5,0,3,10,0,6,2,5,6,0,2,0,2,9,1,2,1,10,0,4,0,0,0,5,0,2,1,0,0,0,Male,65-69 years    (67.0),"White, Non-Hispanic",Master's degree,137.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),Three,Three,None,None,None,None,,No,No,No,No,No,No,Not working - retired,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,South,67,0.761080027,0.76108,Heterosexual or straight,Yes,"I was on active duty in the past, but not now",Yes,Born a U.S. citizen,Not asked, 
268,4,2,1,0,1,0,3,0,0,1,2,1,3,1,1,5,9,0,0,0,2,,3,,,0,9,6,7,4,3,11,7,1,0,3,0,3,2,,5,6,10,1,1,0,2,0,4,0,2,0,1,Male,75 and over    (77.0),"White, Non-Hispanic",Master's degree,92.5,Widowed,Someone else's name only,One,One,None,None,None,None,,No,No,No,No,No,No,Not working - retired,Owned or being bought by you or someone in your household,A one-family house detached from any other house,No,West,83,0.684490025,0.68449,Heterosexual or straight,Yes,"I was on active duty in the past, but not now",Yes,Born a U.S. citizen,Not asked, 
269,3,10,7,2,4,4,7,2,4,3,3,3,3,10,0,4,4,2,2,0,2,0,3,1,2,2,1,200,3,12,5,300,0,7,0,10,1,13,2,2,10,5,9,5,0,0,2,0,6,1,0,0,1,Male,50-54 years    (52.0),"White, Non-Hispanic",Master's degree,112.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),Four,Two,One,One,None,None,Two,Yes,Yes,Yes,No,Yes,Yes,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house attached to one or more houses,Yes,West,51,0.721780002,0.72178,Heterosexual or straight,No,I have never served in the military,Yes,Naturalized U.S. citizen,Italy, 
270,,,,,,1,,,,,,,,2,,2,2,,1,,,,4,3,25,,,100,,6,4,,10,4,,4,,4,2,,1,4,6,,,,,,,,1,,,Female,18-20 years    (19.0),"Other, Non-Hispanic",HS grad,67.5,Never married,Someone else's name only,Three,Three,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Rented for cash,A one-family house attached to one or more houses,Yes,West,20,1.242540002,1.24254,Heterosexual or straight,Yes,I have never served in the military,No,Not asked,Not asked, 
271,2,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,4,0,0,10,2,0,0,5,6,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,Male,75 and over    (77.0),"White, Non-Hispanic",Bachelor's degree,67.5,Never married,Your name only/Your name with someone else's name (jointly owned or rented),Two,Two,None,None,None,None,,No,No,No,No,No,No,Not working - retired,Owned or being bought by you or someone in your household,A one-family house detached from any other house,No,MidWest,77,0.722880006,0.72288,Heterosexual or straight,No,"I have trained for the Reserves or National Guard, but have never been activated",Yes,Born a U.S. citizen,Not asked, 
272,3,3,1,1,1,2,1,1,1,1,1,1,1,1,0,2,0,0,1,0,0,1,1,5,0,0,2,1,5,1,40,5,1,1,0,1,0,5,0,1,1,10,1,1,0,0,1,0,3,0,0,0,0,Female,60-64 years    (62.0),"White, Non-Hispanic",Bachelor's degree,137.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),Two,Two,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,South,60,0.855660021,0.85566,Heterosexual or straight,No,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
273,1,1,1,1,1,2,,,,1,,,,,1,,,1,1,,,1,,,,1,5,,,,,50,50,,1,1,2,2,1,3,,2,3,2,2,,2,,5,,,,,Female,70-74 years    (72.0),"White, Non-Hispanic","Some college, no degree","$50,000 to $59,999  (55)",Married,Your name only/Your name with someone else's name (jointly owned or rented),Two,Two,None,None,None,None,,No,No,No,No,No,No,Not working - retired,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,South,73,1.165830016,1.16583,Heterosexual or straight,No,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
274,5,2,2,4,2,2,6,1,5,2,2,1,4,3,3,4,2,2,3,1,0,0,0,4,0,3,50,20,20,3,5,50,0,10,2,5,5,2,5,0,5,5,5,0,0,0,0,0,4,4,4,5,4,Male,60-64 years    (62.0),"White, Non-Hispanic",Professional or Doctorate degree,"$175,000 or more  (175)",Married,Your name only/Your name with someone else's name (jointly owned or rented),Two,Two,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,South,64,0.761080027,0.76108,Heterosexual or straight,Yes,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
275,4,4,2,2,3,3,6,2,2,2,2,0,0,2,2,0,0,1,1,0,3,0,5,0,2,1,12,6,7,5,12,50,0,5,0,2,5,3,3,1,2,5,5,0,0,0,1,0,1,2,0,0,0,Male,45-49 years    (47.0),"White, Non-Hispanic",Associate degree,112.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),Three,Two,None,None,One,None,One,Yes,No,No,Yes,No,Yes,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,South,45,1.114519954,1.11452,Heterosexual or straight,No,"I was on active duty in the past, but not now",Yes,Born a U.S. citizen,Not asked, 
276,,,,,,,,,,,,,2,1,3,1,1,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,55-59 years    (57.0),"White, Non-Hispanic",Bachelor's degree,"$40,000 to $49,999  (45)",Married,Your name only/Your name with someone else's name (jointly owned or rented),Two,Two,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,No,West,57,0.661769986,0.66177,Heterosexual or straight,Yes,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
277,7,3,1,2,1,1,2,2,3,0,2,1,2,3,5,1,3,1,3,7,7,10,6,5,4,3,20,2,7,2,8,25,0,0,3,4,4,13,20,7,5,6,15,2,1,0,1,0,10,4,1,2,3,Female,60-64 years    (62.0),"White, Non-Hispanic",Less than HS graduate,8.75,Separated,Your name only/Your name with someone else's name (jointly owned or rented),One,One,None,None,None,None,,No,No,No,No,No,No,Not working - disabled,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,MidWest,61,1.324560046,1.32456,Heterosexual or straight,Yes,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
278,0,2,2,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,1,0,1,1,2,1,4,0,2,6,0,0,0,1,1,0,1,1,0,1,2,0,0,0,0,0,1,0,0,1,0,Female,60-64 years    (62.0),"White, Non-Hispanic",HS grad,92.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),Two,Two,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,South,60,0.987089992,0.98709,Heterosexual or straight,Yes,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
279,3,2,1,2,1,2,1,0,1,1,1,0,5,0,2,2,2,1,4,0,0,0,3,0,0,2,8,0,6,1,3,2,0,0,0,0,3,1,1,0,0,0,2,1,0,0,0,0,6,1,1,0,0,Female,65-69 years    (67.0),"White, Non-Hispanic",Professional or Doctorate degree,112.5,Married,Your name only/Your name with someone else's name (jointly owned or rented),Two,Two,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Yes,NorthEast,66,1.085399985,1.0854,Heterosexual or straight,Yes,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
280,2,3,3,3,2,0,1,2,1,1,1,1,10,3,1,1,0,1,0,0,1,0,3,5,1,0,2,5,1,3,10,0,0,0,0,,,,,,,,,,,,,,1,,,,,Female,50-54 years    (52.0),"White, Non-Hispanic",Master's degree,67.5,Never married,Your name only/Your name with someone else's name (jointly owned or rented),One,One,None,None,None,None,,No,No,No,No,No,No,Working - as a paid employee,Rented for cash,A building with 2 or more apartments,Yes,NorthEast,51,0.673420012,0.67342,Heterosexual or straight,No,I have never served in the military,Yes,Born a U.S. citizen,Not asked, 
